municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 00:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 00:10:00;0,2
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 00:20:00;0,5890200000000001
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 00:30:00;0,9824725176959543
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 01:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 02:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 03:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 04:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 04:10:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 04:20:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 04:30:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 04:40:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 04:50:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 05:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 05:10:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 05:20:00;2,3619197730735872
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 05:30:00;2,7572236200537117
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 05:40:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 05:50:00;0,2
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 06:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 06:10:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 06:20:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 06:30:00;0,2
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 06:40:00;0,39268000000000003
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 06:50:00;0,39268000000000003
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 07:00:00;0,5890200000000001
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 07:10:00;0,5890200000000001
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 07:20:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 08:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 09:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 10:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 10:10:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 10:20:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 10:30:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 10:40:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 10:50:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 11:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 11:10:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 11:20:00;0,2
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 11:30:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 12:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 15:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 16:00:00;0,0
Brumadinho;310900608A;MG;Aranha;-44,105;-20,196;01/03/2014 16:10:00;0,0
